text,location,friends_count,followers_count,screen_name,retweet_count,favorite_count,label,description
texas mayor calls out kamala harris for not visiting border during weekend trip ,U.S.A.,261,22469096,FoxNews,61,381,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
whitney houston producer clive davis is excited for new film   nobody has touched the real person of whitney  ,U.S.A.,261,22469096,FoxNews,11,58,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
darrell issa accuses biden dod of moving goalposts to hide scale of recruiting crisis ,U.S.A.,261,22469096,FoxNews,37,127,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
desantis campaign ad touts governor s support for his wife during her battle with breast cancer ,U.S.A.,261,22469096,FoxNews,36,226,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
jamie lee curtis gets emotional while addressing ye s anti semitic tweet   it s abhorrent behavior  ,U.S.A.,261,22469096,FoxNews,7,71,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
former democratic new york govenor says he s never felt more unsafe in nyc amid crime crisis ,U.S.A.,261,22469096,FoxNews,55,172,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
las vegas strip stabbing suspect was caught on la news camera two days before attack   asking for help  ,U.S.A.,261,22469096,FoxNews,31,70,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
panthers fire matt rhule after poor start to  season ,U.S.A.,261,22469096,FoxNews,7,50,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
taiwan says war with china  absolutely  not an option  but bolstering defences ,U.S.A.,261,22469096,FoxNews,23,104,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
gowdy rips democrats  devotion to  soft on crime  policies in major us cities   crime is a tax on the poor  ,U.S.A.,261,22469096,FoxNews,42,227,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
spotlight on crime grows ahead of midterm elections following shooting outside home of lee zeldin ,U.S.A.,261,22469096,FoxNews,19,95,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
  in arp funds went to providence  reparations  commission pushing for bail fund  k  racism curriculum ,U.S.A.,261,22469096,FoxNews,58,100,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
new york teens shot outside gop candidate lee zeldin s home identified  no arrests made  report ,U.S.A.,261,22469096,FoxNews,28,98,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
kelly rizzo remembers late husband bob saget nine months after his death   feels like forever  ,U.S.A.,261,22469096,FoxNews,4,73,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
 fake heiress  anna sorokin speaks on her fight against deportation after release from ice detention ,U.S.A.,261,22469096,FoxNews,21,61,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
cardinals  justin pugh explicitly defends matt ammendola after missed field goal   it s not one f   ing guy  ,U.S.A.,261,22469096,FoxNews,6,48,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
mila kunis slams standing ovation for will smith at oscars after slap   insane to me  ,U.S.A.,261,22469096,FoxNews,37,376,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
lee zeldin says ny crime crisis  showed up at our doorstep  after shooting outside home with daughters inside ,U.S.A.,261,22469096,FoxNews,52,177,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
arizona rescue divers recover body of missing california swimmer who jumped from boat ,U.S.A.,261,22469096,FoxNews,16,65,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
jen psaki downplays hunter biden charges hurting democrats in midterms ,U.S.A.,261,22469096,FoxNews,40,141,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
texas teen s grandmother turns him in to san antonio police for allegedly shooting man ,U.S.A.,261,22469096,FoxNews,12,152,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
padres  joe musgrove understands mets  decision to call for substance check   they re desperate  ,U.S.A.,261,22469096,FoxNews,8,73,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
breaking news  ukraine s zelenskyy to address west at emergency  meeting following onslaught of missile attacks  ,U.S.A.,261,22469096,FoxNews,153,473,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
young wyoming parents skipping meals  turning to ramen noodles as inflation  gas prices soar ,U.S.A.,261,22469096,FoxNews,106,289,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
paris  renowned shops and monuments will plunge into darkness early amid  energy sobriety  push ,U.S.A.,261,22469096,FoxNews,22,120,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
maryland mom s schoolbook sandwich recipe is a fun add to kids  lunchboxes ,U.S.A.,261,22469096,FoxNews,15,79,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
california school bans football team s pro police flag  years after students were rescued from school shooter ,U.S.A.,261,22469096,FoxNews,124,279,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
mexican government hack reveals military sold arms  received escort from cartels  report ,U.S.A.,261,22469096,FoxNews,53,211,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
ricky gervais shuts down hosting the golden globes again in twitter post   f    that  ,U.S.A.,261,22469096,FoxNews,37,436,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
max scherzer reacts to mets  elimination   it s a kick in the b   s  ,U.S.A.,261,22469096,FoxNews,5,61,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
wsj editorial slams the united nations human rights council for refusing to discuss china s uyghur genocide ,U.S.A.,261,22469096,FoxNews,59,225,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
this is the most popular used car color in the usa ,U.S.A.,261,22469096,FoxNews,10,81,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
world mental health day   it s ok to ask for support or help  ,U.S.A.,261,22469096,FoxNews,42,173,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
william shatner reflects on fallout with  star trek  pal leonard nimoy  historic kiss with nichelle nichols ,U.S.A.,261,22469096,FoxNews,18,107,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
newsom campaign places pro abortion billboard in austin  texas ,U.S.A.,261,22469096,FoxNews,50,187,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
breast cancer and mammograms   key questions women of all ages should ask before their scans ,U.S.A.,261,22469096,FoxNews,18,54,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
on this day in history  oct      us naval academy founded after planned mutiny shocks nation ,U.S.A.,261,22469096,FoxNews,22,121,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
fetterman s string of misfires after stroke fuel questions about fitness   kicking balls in the authority  ,U.S.A.,261,22469096,FoxNews,65,191,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
pets quiz  how well do you know these surprising facts about dogs  cats  birds  rabbits and more  ,U.S.A.,261,22469096,FoxNews,12,57,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
biden s equity obsessed education secretary dodging academic priorities amid  catastrophic  reading scores ,U.S.A.,261,22469096,FoxNews,100,266,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
opinion  america s energy chaos is biden s fault  as we pay at the pump  will democrats pay in midterms  ,U.S.A.,261,22469096,FoxNews,505,2575,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
fox news first  fetterman s fitness brought into question  ukraine cities rocked by missile strikes and more top headlines  ,U.S.A.,261,22469096,FoxNews,20,128,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
religious californians voice opposition to proposition  making abortion a right in state constitution ,U.S.A.,261,22469096,FoxNews,47,198,1,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv"
vladimir putin threatens more russian strikes after missiles hit cities across ukraine in most widespread wave of attacks for months ,"London, UK",3,51299198,BBCBreaking,370,1330,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
criminal barristers in england and wales vote to end long running strike action after government offers new pay deal ,"London, UK",3,51299198,BBCBreaking,123,597,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
multiple large explosions hit kyiv  as bbc witnesses strikes on ukraine s capital for first time in many months ,"London, UK",3,51299198,BBCBreaking,921,1672,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
russian president vladimir putin accuses ukraine of attacking the crimea bridge  saying it was an  act of terrorism  ,"London, UK",3,51299198,BBCBreaking,635,2755,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
five year old girl and her father among  people named as those killed in donegal petrol station explosion ,"London, UK",3,51299198,BBCBreaking,137,748,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
child and two teenagers among  people killed in petrol station explosion in donegal  in irish republic ,"London, UK",3,51299198,BBCBreaking,194,648,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
seven people now confirmed dead after friday s explosion at petrol station in county donegal in the republic of ireland ,"London, UK",3,51299198,BBCBreaking,244,765,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
a large fire has broken out on the only bridge from occupied crimea to russia   the cause is still unclear ,"London, UK",3,51299198,BBCBreaking,603,2630,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
three people have died after an explosion at a petrol station in county donegal in the irish republic  police say ,"London, UK",3,51299198,BBCBreaking,193,673,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
liverpool chosen to host the first eurovision song contest to be held in the uk for  years   ,"London, UK",3,51299198,BBCBreaking,357,1796,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
liverpool will host the eurovision song contest next year  beating glasgow to the honour  latest ,"London, UK",3,51299198,BBCBreaking,560,4008,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
russia is preparing its people for the possible use of nuclear weapons but is not ready to use them yet  ukraine s president zelensky tells the bbc ,"London, UK",3,51299198,BBCBreaking,686,2521,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
uk trade minister conor burns dismissed from government after a complaint of serious misconduct  no  says ,"London, UK",3,51299198,BBCBreaking,527,1365,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
man dies after being shot by officers responding to reports of knifeman in police station car park in derby  uk ,"London, UK",3,51299198,BBCBreaking,118,546,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
norwegian nobel committee chair berit reiss andersen says the award honours  three outstanding champions of human rights  democracy and peaceful co existence  in russia  ukraine and belarus  ,"London, UK",3,51299198,BBCBreaking,201,691,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
nobel peace prize awarded to belarusian campaigner ales bialiatski  as well as a russian and a ukrainian human rights group ,"London, UK",3,51299198,BBCBreaking,331,1245,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
ex met police officer arrested after a bbc investigation revealed he had been posting racist content on whatsapp  ,"London, UK",3,51299198,BBCBreaking,210,745,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
homes in the uk face three hour power cuts this winter in the worst case scenario if gas supplies run low  national grid says ,"London, UK",3,51299198,BBCBreaking,571,1208,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
children are among at least  people killed in a gun and knife attack at a pre school in thailand ,"London, UK",3,51299198,BBCBreaking,6649,4979,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
three more loud explosions hit ukrainian city zaporizhzhia hours after missiles struck apartment building in centre of town ,"London, UK",3,51299198,BBCBreaking,151,593,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
alec baldwin reaches settlement over death of halyna hutchins  shot on set of film rust last year ,"London, UK",3,51299198,BBCBreaking,148,536,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
greenpeace protesters interrupt liz truss  first conservative party conference speech as uk prime minister and are removed by security  ,"London, UK",3,51299198,BBCBreaking,587,3022,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
liz truss to give first speech as uk prime minister to conservative party conference after bruising few days ,"London, UK",3,51299198,BBCBreaking,97,597,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
elon musk s multi billion dollar deal to buy twitter is back on  according to documents filed with us authorities ,"London, UK",3,51299198,BBCBreaking,374,1176,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
uk prime minister liz truss refuses to commit to boris johnson s pledge to raise benefits in line with inflation but tells bbc she will  support the most vulnerable  ,"London, UK",3,51299198,BBCBreaking,187,871,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
discovery of the genetic code of neanderthals  a task previously thought impossible  wins swedish scientist svante paabo a nobel prize ,"London, UK",3,51299198,BBCBreaking,685,3266,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
 we get it  and we have listened     abolition of the  tax rate will not go ahead  confirms uk chancellor kwasi kwarteng  ,"London, UK",3,51299198,BBCBreaking,455,1603,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
lula ahead of jair bolsonaro after first round of brazil s presidential election   they face  october run off vote ,"London, UK",3,51299198,BBCBreaking,222,1064,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
at least  people have died in stampede at indonesian football match sparked after police tear gassed fans invading the pitch ,"London, UK",3,51299198,BBCBreaking,2514,5334,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
a  year old man charged with murder of nine year old olivia pratt korbel  who was shot in her home in liverpool ,"London, UK",3,51299198,BBCBreaking,266,1654,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
russian troops withdraw from strategic town of lyman where ukraine s forces threatened to encircle them  russia s defence ministry says ,"London, UK",3,51299198,BBCBreaking,434,2532,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
prince william says online safety for young people should be  prerequisite  not an afterthought  after inquest into  year old molly russell s death ,"London, UK",3,51299198,BBCBreaking,424,3913,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
ukraine s president zelensky applies for fast track membership of nato  after russia s illegal annexation of four regions of ukraine ,"London, UK",3,51299198,BBCBreaking,977,5297,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
police resume search for keith bennett  victim of moors murderers  after suspected human remains found ,"London, UK",3,51299198,BBCBreaking,298,1401,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
 there are four new regions of russia   russian president vladimir putin speaks at kremlin ceremony to annex parts of ukraine  ,"London, UK",3,51299198,BBCBreaking,286,805,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
uk schoolgirl molly russell viewed online content that contributed  in a more than minimal way  to the  year old s death  coroner says ,"London, UK",3,51299198,BBCBreaking,129,562,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
at least  people killed and dozens wounded in suicide bombing at kabul education centre  afghan police say ,"London, UK",3,51299198,BBCBreaking,368,912,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
man    arrested on suspicion of murder of nine year old olivia pratt korbel  shot in her home in liverpool ,"London, UK",3,51299198,BBCBreaking,220,1531,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
hurricane ian may have caused  substantial loss of life  in florida  us president biden says  as storm heads for south carolina   follow the latest ,"London, UK",3,51299198,BBCBreaking,196,629,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
queen s cause of death given as  old age  in extracts of death certificate just released ,"London, UK",3,51299198,BBCBreaking,553,2606,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
russia says it will formally annex four more parts of ukraine in ceremony on friday  just days after unrecognised referendums  ,"London, UK",3,51299198,BBCBreaking,657,1383,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
uk prime minister liz truss says she had to take urgent action to get the economy growing   ,"London, UK",3,51299198,BBCBreaking,202,1014,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
hurricane ian makes landfall in florida  with residents urged to shelter and hundreds of thousands left without power ,"London, UK",3,51299198,BBCBreaking,182,779,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
secret filming by bbc panorama finds  toxic culture  of abuse of patients by staff in an nhs mental health hospital  ,"London, UK",3,51299198,BBCBreaking,532,1380,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
bank of england steps in to calm markets by buying uk government bonds ,"London, UK",3,51299198,BBCBreaking,633,1841,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
a labour government would create a publicly owned green energy company to turn uk into clean energy  superpower   leader sir keir starmer says ,"London, UK",3,51299198,BBCBreaking,317,2455,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
either glasgow or liverpool will host next year s eurovision song contest  after the shortlist of uk cities in contention was cut to just two ,"London, UK",3,51299198,BBCBreaking,254,1486,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
direct hit  nasa smashes spacecraft into asteroid in controlled experiment  million miles away ,"London, UK",3,51299198,BBCBreaking,519,2379,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
bank of england says it will  not hesitate  to raise interest rates to curb inflation after the pound fell to a record low against the us dollar ,"London, UK",3,51299198,BBCBreaking,681,1856,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
gunman opens fire at school in russian city of izhevsk  with officials saying at least six people killed and others wounded ,"London, UK",3,51299198,BBCBreaking,439,1054,1,"Breaking news alerts and updates from the BBC. For news, features, analysis follow @BBCWorld (international) or @BBCNews (UK). Latest sport news @BBCSport."
many iranians wounded by the security forces amid protests are too afraid to go to a hospital for treatment  because some protesters seeking medical help have been detained  according to several accounts shared with cbs news  ,"New York, NY",597,8808966,CBSNews,11,15,1,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
inside the nation s first and only statewide prison radio station where inmates use conversation to  become better people   ,"New York, NY",597,8808966,CBSNews,4,26,1,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
los angeles city council president nury martinez announced her resignation monday after she was heard making racist comments about a councilmember s black son in a leaked recording of a conversation with other leaders  ,"New York, NY",597,8808966,CBSNews,40,111,1,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
just moments after reporting about a potential russian attack  a bbc reporter ducked for cover after missiles hit central kyiv  ukraine   ,"New York, NY",597,8808966,CBSNews,20,50,1,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
the mets thought padres pitcher joe musgrove s shiny ear was suspicious  so they asked the umpire to check it for foreign substances  stirring controversy  ,"New York, NY",597,8808966,CBSNews,3,6,1,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
more than a decade after air france flight  plummeted into the atlantic ocean  winfried schmidt traveled to paris from his native germany to see the airline and airbus go on trial for involuntary manslaughter  ,"New York, NY",597,8808966,CBSNews,8,29,1,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
president biden says the u s  strongly condemns russia s missile strikes monday across ukraine  saying the attacks  demonstrate the utter brutality of mr  putin s illegal war on the ukrainian people    ,"New York, NY",597,8808966,CBSNews,29,102,1,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
rt  cbs_herridge  new  sec wormuth  ausaorg  i am pleased to announce this morning that working closely with the air force we now have plan ,"New York, NY",597,8808966,CBSNews,30,0,1,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
great scott   the crowd went wild at the new york comic convention when the stars of the  back to the future  trilogy  michael j fox and christopher lloyd  reunited with an onstage embrace  ,"New York, NY",597,8808966,CBSNews,28,169,1,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
georgia s republican lt  gov  geoffrey duncan has spoken out against herschel walker  the current gop senate nominee in the state   ,"New York, NY",597,8808966,CBSNews,23,68,1,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
rt  edokeefe  just in   potus biden says the united states  strongly condemns  russia s attacks across ukraine today   these attacks only f ,"New York, NY",597,8808966,CBSNews,64,0,1,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
the difference between a mediocre  k  plan and a great one could translate into tens of thousands of dollars more in future retirement money  ,"New York, NY",597,8808966,CBSNews,3,17,1,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
nikki finke  the veteran reporter who became one of hollywood s top journalists as founder of the entertainment trade website deadline  com and whose sharp tongued tenacity made her the most feared columnist in show business  has died  ,"New York, NY",597,8808966,CBSNews,7,12,1,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
rt  cbsmornings  coordinated russian attacks in at least eight cities have left ukrainians scrambling in fear   it is apparent payback for ,"New York, NY",597,8808966,CBSNews,15,0,1,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
rt  cbsmornings  more than a week after tua tagovailoa was carted off the field on a stretcher  the nfl played its first slate of games und ,"New York, NY",597,8808966,CBSNews,16,0,1,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
rt  cbsmornings  critics are calling comments by alabama senator tommy tuberville overtly racist  after he made remarks about reparations d ,"New York, NY",597,8808966,CBSNews,26,0,1,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
rt  cbsmornings  kanye west has been restricted from instagram and locked out of twitter  after posting anti semitic remarks on the platfor ,"New York, NY",597,8808966,CBSNews,21,0,1,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
rt  cbsmornings  actor  yahya is making his broadway debut in  topdogbway  which he says  embraced  him from the moment he first read it  ,"New York, NY",597,8808966,CBSNews,11,0,1,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
in a video posted on social media  a man claiming to be a mexican drug cartel leader says an attack that killed  people including a mayor was in fact aimed at him    ,"New York, NY",597,8808966,CBSNews,11,10,1,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
officials at vanderbilt university medical center announced friday that they are pausing gender affirming surgeries for minors in order to review their practices  ,"New York, NY",597,8808966,CBSNews,8,26,1,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
an  year old woman was mauled to death by two dogs while she was out for a walk  authorities in california said  ,"New York, NY",597,8808966,CBSNews,16,34,1,"Your source for original reporting and trusted news.

📺 CBS | Streaming on the CBS News app | @ParamountPlus"
